,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
208,,2022-10-1 4:30 pmOct 1,mukkinaround,,,9 miles,959 ft
209,,2022-10-1 4:11 pmOct 1,Zdubs17,,,14 miles,"1,091 ft"
210,,2022-10-1 3:41 pmOct 1,PlanBMTB,,,9 miles,844 ft
211,,2022-10-1 3:39 pmOct 1,brianshoemaker,,AM,21 miles,"1,864 ft"
212,,2022-10-1 3:07 pmOct 1,DanLUbws7,,,11 miles,999 ft
213,,2022-10-1 2:51 pmOct 1,Johris18,,,9 miles,703 ft
214,,2022-10-1 2:27 pmOct 1,kmolland,,,8 miles,677 ft
215,,2022-10-1 2:11 pmOct 1,shawn1140,,,8 miles,841 ft
216,,2022-10-1 2:09 pmOct 1,linx0003,,,13 miles,989 ft
217,,2022-10-1 1:31 pmOct 1,cjammiller,,,10 miles,"1,169 ft"
218,,2022-9-30 10:53 pmSep 30,PhilKc2ChC,,,7 miles,647 ft
219,,2022-9-30 10:16 pmSep 30,ddcheim,,,9 miles,"1,035 ft"
220,,2022-9-30 9:56 pmSep 30,Bcieluch,,,9 miles,"1,054 ft"
221,,2022-9-30 9:36 pmSep 30,ijp11,,,9 miles,950 ft
222,,2022-9-30 9:28 pmSep 30,Senatorp,,,10 miles,976 ft
223,,2022-9-30 9:11 pmSep 30,radian23,,,4 miles,358 ft
224,,2022-9-30 8:00 pmSep 30,toadiesforcody,,,7 miles,777 ft
225,,2022-9-30 7:48 pmSep 30,fjespinozac,,AM,10 miles,696 ft
226,,2022-9-30 5:48 pmSep 30,offcamber650b,,,5 miles,443 ft
227,,2022-9-30 4:56 pmSep 30,Nickgalassi,,,5 miles,620 ft
228,,2022-9-30 2:30 pmSep 30,violed23,,,11 miles,965 ft
229,,2022-9-29 11:27 pmSep 29,Plkng1776,,,9 miles,867 ft
230,,2022-9-29 10:38 pmSep 29,Blunde,,,9 miles,642 ft
231,,2022-9-29 10:37 pmSep 29,ErikMoe01,,,8 miles,600 ft
232,,2022-9-29 10:34 pmSep 29,tysimo,,,6 miles,566 ft
233,,2022-9-29 10:30 pmSep 29,Welcome124,,,10 miles,923 ft
234,,2022-9-29 10:21 pmSep 29,Sjcleve,,,9 miles,795 ft
235,,2022-9-29 10:19 pmSep 29,AsgFQ,,,9 miles,818 ft
236,,2022-9-29 10:16 pmSep 29,brianshoemaker,,AM,9 miles,967 ft
237,,2022-9-29 10:15 pmSep 29,mattlnec,,,9 miles,815 ft
238,,2022-9-29 10:10 pmSep 29,HarrisonMeyer,,,15 miles,"1,362 ft"
239,,2022-9-29 10:07 pmSep 29,mtbtobymn,,,14 miles,"1,078 ft"
240,,2022-9-29 7:56 pmSep 29,Bjdougherty,,,13 miles,"1,322 ft"
241,,2022-9-29 6:31 pmSep 29,Jthone,,,11 miles,844 ft
242,,2022-9-29 3:41 pmSep 29,Jessev5kQnc,,,7 miles,724 ft
243,,2022-9-29 12:54 pmSep 29,SofJay,,,5 miles,575 ft
244,,2022-9-29 12:21 amSep 29,shakomoser55,,,13 miles,"1,313 ft"
245,,2022-9-28 11:53 pmSep 28,gfedz,,XC,"4,534 ft",81 ft
246,,2022-9-28 11:40 pmSep 28,Er0breich,,,7 miles,883 ft
247,,2022-9-28 11:38 pmSep 28,mukkinaround,,XC,9 miles,991 ft
248,,2022-9-28 11:15 pmSep 28,gfedz,,XC,2 miles,174 ft
249,,2022-9-28 11:07 pmSep 28,Jessev5kQnc,,,9 miles,924 ft
250,,2022-9-28 10:43 pmSep 28,toadiesforcody,,,8 miles,706 ft
251,,2022-9-28 10:07 pmSep 28,ErikMoe01,,,8 miles,736 ft
252,,2022-9-28 10:05 pmSep 28,Krblaser,,,10 miles,989 ft
253,,2022-9-28 7:44 pmSep 28,Eadams2,,,14 miles,960 ft
254,,2022-9-28 6:24 pmSep 28,Slombard,,AM,7 miles,740 ft
255,,2022-9-28 4:09 pmSep 28,awgator,,,9 miles,805 ft
256,,2022-9-28 3:39 pmSep 28,XploringDave,,,9 miles,862 ft
257,,2022-9-28 2:42 pmSep 28,jdlmpls,,,8 miles,775 ft
258,,2022-9-27 10:50 pmSep 27,Giraffable,,,9 miles,889 ft
259,,2022-9-27 10:35 pmSep 27,toadiesforcody,,,8 miles,740 ft
260,,2022-9-27 9:47 pmSep 27,moebius10,,,6 miles,752 ft
261,,2022-9-27 9:37 pmSep 27,Mpearce,,,10 miles,818 ft
262,,2022-9-27 9:29 pmSep 27,JFDI,,,8 miles,661 ft
263,,2022-9-27 7:20 pmSep 27,Eadams2,,,16 miles,"1,164 ft"
264,,2022-9-27 3:48 pmSep 27,AO320,,,9 miles,987 ft
265,,2022-9-26 11:05 pmSep 26,toadiesforcody,,,8 miles,828 ft
266,,2022-9-26 10:51 pmSep 26,brandonBcKEGu,,,8 miles,835 ft
267,,2022-9-26 10:29 pmSep 26,Pimholte,,Trials,5 miles,554 ft
268,,2022-9-26 10:15 pmSep 26,brianshoemaker,,AM,11 miles,"1,192 ft"
269,,2022-9-26 10:09 pmSep 26,mattlnec,,,9 miles,864 ft
270,,2022-9-26 7:39 pmSep 26,Dodson,,,11 miles,825 ft
271,,2022-9-26 6:01 pmSep 26,Jessev5kQnc,,,9 miles,"1,023 ft"
272,,2022-9-26 5:40 pmSep 26,Wizardbongs,,,7 miles,679 ft
273,,2022-9-25 9:57 pmSep 25,MarynGK,,,4 miles,282 ft
274,,2022-9-25 9:04 pmSep 25,Moiyster,,,9 miles,541 ft
275,,2022-9-25 9:01 pmSep 25,ajzinnecker,,,13 miles,"1,278 ft"
276,,2022-9-25 8:11 pmSep 25,ACarrell,,,4 miles,391 ft
277,,2022-9-25 8:01 pmSep 25,astralzombie,,,5 miles,543 ft
278,,2022-9-25 5:52 pmSep 25,tuckershreds,,,10 miles,"1,062 ft"
279,,2022-9-25 5:46 pmSep 25,cullub,,,7 miles,703 ft
280,,2022-9-25 4:07 pmSep 25,enorcrove,,,7 miles,540 ft
281,,2022-9-25 3:55 pmSep 25,Nnascimento,,AM,10 miles,"1,081 ft"
282,,2022-9-25 3:02 pmSep 25,voghan,,AM,9 miles,"1,034 ft"
283,,2022-9-25 2:23 pmSep 25,Silly1,,,10 miles,664 ft
284,,2022-9-25 2:08 pmSep 25,Angbonn,,,8 miles,872 ft
285,,2022-9-25 1:32 pmSep 25,violed23,,,13 miles,"1,220 ft"
286,,2022-9-24 9:32 pmSep 24,bricollins,,,11 miles,"1,129 ft"
287,,2022-9-24 8:10 pmSep 24,Maxwellbn,,Trials,9 miles,853 ft
288,,2022-9-24 7:48 pmSep 24,TonyLanners,,,8 miles,837 ft
